Report Number,Sample Id,Project Name,Brand NickName,Lab Name,Lab Number,Matrix Type,Sampled DateTime,Received Date,Prep date/time,DateTime Test Started,CAS Number,Analyte Description,Result,Unit of Measure,Qualifier,Dilution Factor,Quantitation Limit,Method,QC Batch No
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,75-71-8,Dichlorodifluoromethane,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,91-94-1,33-Dichlorobenzidine,<0.302,mg/Kg - dry,,1,0.302,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,75-34-3,11-Dichloroethane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,107-06-2,12-Dichloroethane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,75-35-4,11-Dichloroethene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,156-59-2,cis-12-Dichloroethene,0.003,mg/Kg - dry,J,1,0.0010,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,156-60-5,trans-12-Dichloroethene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,120-83-2,24-Dichlorophenol,<0.016,mg/Kg - dry,,1,0.016,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,78-87-5,12-Dichloropropane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,142-28-9,13-Dichloropropane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,594-20-7,22-Dichloropropane,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,563-58-6,11-Dichloropropene,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,10061-01-5,cis-13-Dichloropropene,<0.0010,mg/Kg - dry,,1,0.0010,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,10061-02-6,trans-13-Dichloropropene,<0.0008,mg/Kg - dry,,1,0.0008,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,84-66-2,Diethyl phthalate,<0.017,mg/Kg - dry,,1,0.017,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,131-11-3,Dimethyl phthalate,<0.017,mg/Kg - dry,,1,0.017,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,105-67-9,24-Dimethylphenol,<0.047,mg/Kg - dry,,1,0.047,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,84-74-2,Di-n-butyl phthalate,<0.039,mg/Kg - dry,,1,0.039,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,534-52-1,46-Dinitro-2-methylphenol,<0.229,mg/Kg - dry,,1,0.229,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,51-28-5,24-Dinitrophenol,<0.404,mg/Kg - dry,,1,0.404,SW-8270E,W6783
